                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4266,                 6.5639,                 5.9144,                0.00047,                0.11176,                0.00088,                0.00022,                 2.5087,                 5.7558,                 5.3783,             0.00034441,             0.00034441,             0.00034441
                      2,                  2.334,                 5.7663,                  5.261,                0.00054,                0.12353,                0.00043,                0.00013,                 2.5298,                 5.8489,                 5.4327,             0.00069532,             0.00069532,             0.00069532
                      3,                 2.3136,                 5.3993,                 4.9579,                0.00164,                0.17059,                0.01214,                0.00582,                 2.5113,                 5.1696,                 5.4408,              0.0010416,              0.0010416,              0.0010416
                      4,                 2.3557,                 5.0612,                 4.7594,                0.06716,                0.13176,                0.04611,                0.01799,                 2.2647,                 11.964,                 4.9966,              0.0010891,              0.0010891,              0.0010891
                      5,                 2.2643,                 4.7302,                 4.5389,                0.03465,                0.19882,                0.04058,                0.01782,                 2.1552,                 43.303,                 5.0733,              0.0010818,              0.0010818,              0.0010818
                      6,                 2.2375,                  4.424,                 4.3933,                0.13006,                0.19327,                0.08678,                0.03746,                 2.0563,                 12.315,                 4.3063,              0.0010744,              0.0010744,              0.0010744
                      7,                 2.0441,                 4.2821,                 4.1258,                0.12183,                0.52706,                0.21819,                0.09487,                 1.9666,                 24.676,                  4.468,              0.0010671,              0.0010671,              0.0010671
                      8,                 2.0144,                 4.1145,                 4.0694,                0.03009,                0.35059,                0.03677,                0.01541,                 1.9124,                 27.308,                 4.4295,              0.0010598,              0.0010598,              0.0010598
                      9,                 1.8134,                 3.9477,                 3.8547,                0.05091,                0.52471,                0.10942,                0.04074,                 1.7541,                  6.481,                 3.8683,              0.0010525,              0.0010525,              0.0010525
                     10,                 1.6795,                 3.8357,                 3.6932,                0.07897,                0.26118,                0.12884,                0.04932,                 1.8185,                 10.723,                 4.2519,              0.0010452,              0.0010452,              0.0010452
                     11,                 1.6453,                 3.7517,                 3.5515,                0.07788,                0.27294,                0.13118,                0.05227,                 1.5464,                 4.9844,                 3.4993,              0.0010379,              0.0010379,              0.0010379
                     12,                 1.5334,                 3.6266,                 3.3604,                0.12391,                0.55392,                 0.1871,                0.08004,                 1.5502,                 5.0468,                 3.5956,              0.0010306,              0.0010306,              0.0010306
                     13,                 1.5429,                 3.5951,                 3.3748,                0.25121,                0.53294,                0.41032,                0.24304,                 1.4271,                 2.9129,                 3.2895,              0.0010233,              0.0010233,              0.0010233
                     14,                 1.4469,                 3.3728,                 3.2269,                0.19298,                0.62811,                0.29983,                0.16285,                 1.2908,                 3.9789,                 3.0479,               0.001016,               0.001016,               0.001016
                     15,                 1.4166,                 3.3826,                  3.148,                0.27548,                0.56118,                0.36704,                0.18189,                 1.4128,                 3.3054,                 3.1651,              0.0010087,              0.0010087,              0.0010087
                     16,                 1.3941,                   3.31,                 3.0988,                0.27396,                0.32941,                0.40444,                0.26228,                 1.2653,                 3.1426,                 3.0142,              0.0010013,              0.0010013,              0.0010013
                     17,                 1.3096,                 3.2376,                 3.0096,                0.20374,                0.52941,                0.29849,                0.17707,                 1.2552,                 3.0376,                  2.847,             0.00099404,             0.00099404,             0.00099404
                     18,                 1.3164,                 3.1902,                 2.9305,                0.42504,                0.47889,                0.48527,                 0.3208,                 1.2098,                 2.6224,                 2.8336,             0.00098673,             0.00098673,             0.00098673
                     19,                 1.2786,                  3.096,                 2.9322,                 0.3498,                0.74225,                0.47821,                0.32375,                  1.104,                  3.237,                  2.641,             0.00097942,             0.00097942,             0.00097942
                     20,                 1.2283,                 3.0368,                 2.8616,                0.33364,                0.66118,                0.42322,                0.29018,                 1.1743,                 2.8195,                 2.7654,             0.00097211,             0.00097211,             0.00097211
                     21,                 1.2107,                 3.0472,                 2.7836,                0.49729,                0.54395,                0.53759,                0.34773,                 1.1217,                 2.8893,                 2.6645,              0.0009648,              0.0009648,              0.0009648
                     22,                 1.2052,                  3.044,                 2.7533,                0.39205,                0.70961,                0.51205,                0.36583,                 1.0312,                 2.3853,                  2.633,             0.00095749,             0.00095749,             0.00095749
                     23,                 1.1965,                 2.9224,                 2.7386,                0.31035,                0.70772,                0.49683,                0.32499,                 1.1362,                 2.5059,                 2.6511,             0.00095018,             0.00095018,             0.00095018
                     24,                  1.104,                 2.9269,                 2.6357,                0.33639,                 0.7422,                0.48643,                0.36527,                0.93082,                 2.4396,                 2.4001,             0.00094287,             0.00094287,             0.00094287
                     25,                 1.0625,                 2.8454,                 2.5814,                  0.478,                0.56864,                  0.517,                0.37558,                 1.1166,                 2.6098,                 2.6005,             0.00093556,             0.00093556,             0.00093556
                     26,                 1.0717,                 2.7911,                 2.5411,                0.37782,                0.65015,                0.50611,                0.37463,                  1.026,                 2.3774,                 2.4562,             0.00092825,             0.00092825,             0.00092825
