                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0328,                 4.9013,                 4.7583,                 0.0006,                  0.125,                0.00519,                0.00065,                 2.6645,                 4.4396,                 4.1575,                0.00015,                0.00015,                0.00015
                      2,                 2.8588,                 4.4425,                 4.3602,                0.00061,                  0.125,                0.00266,                0.00047,                 2.6642,                 4.4516,                 4.1586,             0.00030941,             0.00030941,             0.00030941
                      3,                 3.0531,                 4.1054,                 4.1128,                 0.0006,                  0.125,                0.00067,                0.00019,                 2.6713,                  4.481,                  4.172,              0.0004656,              0.0004656,              0.0004656
                      4,                 2.9653,                 3.7831,                 3.9518,                 0.0006,                  0.125,                0.00055,                0.00017,                  2.692,                 4.4709,                 4.2155,             0.00061857,             0.00061857,             0.00061857
                      5,                 2.9281,                 3.6951,                 3.7863,                0.00061,                  0.125,                0.00056,                0.00017,                 2.6988,                 4.4417,                 4.2712,             0.00076832,             0.00076832,             0.00076832
                      6,                 2.8264,                  3.433,                 3.6256,                0.00069,                    0.1,                0.00054,                 0.0002,                  2.702,                 4.2406,                 4.3453,             0.00091486,             0.00091486,             0.00091486
                      7,                 2.6025,                 3.2539,                 3.4268,                0.00069,                    0.1,                0.00052,                0.00018,                 2.6776,                 4.2018,                  4.316,              0.0010582,              0.0010582,              0.0010582
                      8,                  2.648,                 3.3441,                 3.3874,                0.11262,                    0.1,                0.10308,                0.04611,                 2.4183,                 3.5396,                 3.6209,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.5141,                 3.0867,                 3.1659,                0.23894,                0.46421,                0.28015,                0.13336,                 2.2378,                 3.1127,                 3.2856,               0.001151,               0.001151,               0.001151
                     10,                 2.4788,                 2.9974,                 3.0885,                0.14478,                  0.475,                0.15463,                0.04753,                 2.3568,                 9.1491,                 3.6763,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.2951,                  2.909,                  2.957,                0.15988,                  0.225,                0.08236,                0.02513,                 2.2682,                 3.5048,                 3.1785,              0.0011263,              0.0011263,              0.0011263
