                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0328,                 4.9013,                 4.7583,                 0.0006,                  0.125,                0.00051,                0.00018,                 2.6848,                 4.4182,                 4.1566,                0.00015,                0.00015,                0.00015
                      2,                  2.854,                 4.4447,                 4.3596,                0.00062,                  0.125,                0.00057,                0.00021,                 2.6887,                 4.4312,                 4.1575,             0.00031147,             0.00031147,             0.00031147
                      3,                 3.0652,                 4.1123,                 4.1322,                0.00062,                  0.125,                0.00054,                0.00019,                 2.6989,                 4.4604,                 4.1699,             0.00047187,             0.00047187,             0.00047187
                      4,                 2.9737,                 3.7332,                 3.9404,                0.00059,                  0.125,                0.00052,                0.00017,                 2.7283,                 4.4407,                 4.2107,             0.00063119,             0.00063119,             0.00063119
                      5,                 2.9104,                 3.6819,                 3.7797,                0.00061,                  0.125,                0.00049,                0.00017,                 2.7077,                 4.5315,                 4.2678,             0.00078944,             0.00078944,             0.00078944
                      6,                 2.8245,                 3.4139,                 3.6279,                0.00073,                  0.125,                0.00055,                0.00018,                 2.6947,                 4.3396,                 4.3214,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.6428,                  3.236,                 3.4122,                 0.0006,                    0.1,                0.00047,                0.00019,                 2.6648,                 4.3728,                 4.2907,              0.0011027,              0.0011027,              0.0011027
                      8,                 2.6749,                 3.3218,                 3.3506,                0.52775,                  0.025,                0.01769,                0.00834,                 2.5469,                 5.4063,                 3.9303,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.5451,                 3.1116,                 3.1787,                0.09679,                  0.625,                0.16848,                0.07143,                 2.2663,                 14.198,                 3.2708,               0.001217,               0.001217,               0.001217
                     10,                 2.5334,                 3.0182,                 3.1444,                0.16786,                  0.575,                0.17405,                0.06744,                 2.2689,                 3.8555,                 3.3003,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.3908,                 2.8573,                      3,                0.16049,                0.41767,                0.19224,                0.08912,                 2.3815,                 7.4968,                 3.3618,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.4517,                 2.8586,                 2.9705,                0.09715,                  0.575,                0.19671,                0.08347,                 2.3169,                 33.561,                 3.2828,              0.0012046,              0.0012046,              0.0012046
                     13,                  2.291,                 2.7138,                 2.8702,                0.20625,                  0.625,                0.27975,                0.14485,                 1.7529,                 5.8483,                 2.5674,              0.0012005,              0.0012005,              0.0012005
                     14,                 2.1764,                 2.6245,                 2.7953,                0.33893,                0.55956,                0.41201,                0.23875,                 1.4462,                 2.7209,                 2.3256,              0.0011964,              0.0011964,              0.0011964
                     15,                 2.0566,                 2.6092,                 2.7039,                0.73062,                0.37356,                0.32526,                0.14089,                 1.8407,                 2.7741,                 2.5776,              0.0011922,              0.0011922,              0.0011922
                     16,                 2.0189,                 2.5599,                 2.6671,                 0.3877,                0.21787,                0.36569,                0.15322,                 1.9419,                  2.781,                 3.0636,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.8716,                 2.3883,                  2.503,                0.32424,                  0.575,                0.36147,                0.21509,                 1.4931,                   2.08,                 2.3175,               0.001184,               0.001184,               0.001184
                     18,                   1.84,                 2.4115,                 2.4892,                0.32749,                0.45112,                0.39658,                0.26746,                 1.3133,                 2.5369,                 2.1647,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.8803,                 2.3668,                 2.5072,                0.33529,                    0.7,                0.43518,                0.27464,                 1.4329,                 2.9072,                 2.3096,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.8472,                 2.3305,                 2.4718,                0.73522,                0.29836,                0.31335,                0.18527,                 1.4861,                 2.7001,                 2.2969,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.7577,                 2.2617,                 2.4047,                0.24681,                  0.475,                0.31493,                0.19998,                  1.267,                 3.1435,                  2.053,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.6682,                 2.2079,                 2.2991,                0.29351,                0.42014,                0.41792,                0.28464,                 1.2449,                 2.2349,                 2.0211,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.5884,                 2.1309,                 2.2509,                0.26409,                  0.675,                0.46648,                0.27384,                 1.4309,                  1.929,                 2.0621,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.7245,                 2.1866,                 2.2864,                0.30378,                    0.7,                0.41229,                0.27624,                 1.1842,                 2.1113,                 1.9537,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.4658,                 2.1147,                 2.1356,                0.45211,                0.60032,                0.44515,                0.29214,                 1.2369,                 1.9033,                 2.0119,               0.001151,               0.001151,               0.001151
                     26,                 1.5167,                 2.0503,                 2.1437,                0.38756,                  0.625,                0.45511,                0.30892,                 1.0456,                 1.6943,                 1.8808,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.5228,                 2.0036,                 2.1352,                0.27657,                0.17154,                0.39789,                0.21779,                 1.6265,                  2.761,                 2.5688,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.4409,                 2.0069,                 2.0804,                 0.2922,                  0.375,                 0.4307,                0.29681,                 1.1093,                 2.2625,                 1.9719,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.4692,                 1.9705,                 2.1044,                0.31256,                  0.625,                0.45629,                0.29597,                  1.239,                 1.7904,                 2.0328,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.4104,                 1.9138,                 2.0155,                0.33786,                0.55159,                0.48997,                0.37671,                 1.0454,                 1.7348,                 1.8239,              0.0011304,              0.0011304,              0.0011304
                     31,                  1.328,                 1.9063,                 2.0278,                0.36726,                  0.625,                0.51024,                0.37565,                 0.9775,                 1.5764,                  1.735,              0.0011263,              0.0011263,              0.0011263
                     32,                 1.4688,                 1.9663,                 2.0982,                0.30755,                0.81673,                0.46669,                0.30994,                 1.4388,                 1.9991,                 1.8981,              0.0011221,              0.0011221,              0.0011221
