                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1389,                 4.8388,                  4.749,                0.00061,                  0.125,                0.00064,                 0.0002,                 2.6846,                 4.4195,                 4.1573,                0.00015,                0.00015,                0.00015
                      2,                 3.0646,                 4.4199,                 4.3216,                0.00063,                  0.125,                0.00066,                 0.0002,                 2.6827,                 4.4311,                 4.1579,             0.00031147,             0.00031147,             0.00031147
                      3,                 3.0162,                 4.0325,                  4.084,                0.00059,                  0.125,                0.00057,                0.00016,                 2.6908,                 4.4641,                 4.1741,             0.00047187,             0.00047187,             0.00047187
                      4,                 2.9503,                 3.7835,                 3.8777,                0.00047,                    0.1,                0.00043,                0.00015,                 2.6844,                 4.4776,                 4.2203,             0.00063119,             0.00063119,             0.00063119
                      5,                 2.8831,                 3.5785,                  3.746,                0.00061,                  0.125,                0.00044,                0.00016,                 2.6875,                 4.5151,                 4.2773,             0.00078944,             0.00078944,             0.00078944
                      6,                 2.8455,                 3.3845,                 3.6093,                0.00062,                  0.125,                0.00049,                0.00017,                 2.6851,                  4.433,                 4.3272,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.7083,                  3.341,                  3.443,                0.00062,                  0.125,                0.00055,                0.00018,                 2.6661,                 4.3807,                 4.3598,              0.0011027,              0.0011027,              0.0011027
                      8,                 2.5999,                 3.1881,                 3.3498,                 0.5748,                  0.025,                 0.0224,                0.01006,                 2.5548,                 4.2847,                 3.9002,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.5049,                 3.1217,                 3.2023,                0.26858,                    0.1,                0.16334,                 0.0516,                 2.5809,                 6.3144,                 3.7675,               0.001217,               0.001217,               0.001217
                     10,                 2.4558,                 2.9813,                 3.0921,                0.00381,                   0.95,                0.10107,                0.03965,                 2.0609,                 3.5239,                 3.1928,              0.0012129,              0.0012129,              0.0012129
                     11,                  2.319,                 2.8311,                 2.9709,                0.07021,                0.51477,                 0.1012,                0.04638,                 2.3452,                 4.2741,                 3.2503,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.2309,                 2.8398,                 2.8942,                0.08596,                0.83637,                0.19611,                 0.0836,                 1.7615,                 26.583,                 2.8428,              0.0012046,              0.0012046,              0.0012046
                     13,                 2.2268,                 2.9015,                 2.8482,                0.47353,                    0.5,                0.41095,                0.20431,                  1.854,                 3.3287,                 2.6309,              0.0012005,              0.0012005,              0.0012005
                     14,                 2.1551,                 2.6997,                 2.7613,                0.41372,                    0.5,                0.39719,                 0.2035,                 1.8888,                  3.425,                 2.8115,              0.0011964,              0.0011964,              0.0011964
                     15,                 2.0595,                 2.5886,                 2.6924,                0.31627,                  0.175,                 0.2829,                0.14603,                 1.8328,                 2.7496,                 2.8335,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.9254,                 2.5504,                 2.6151,                0.33866,                0.53081,                 0.4256,                0.23665,                 1.7152,                 5.5456,                 2.5231,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.8094,                 2.4898,                 2.5143,                0.19402,                    0.2,                0.18189,                0.07025,                 2.2978,                 3.6389,                 2.8768,               0.001184,               0.001184,               0.001184
                     18,                 1.8214,                 2.4474,                 2.4319,                0.52711,                 0.3733,                0.36407,                0.22402,                 1.7045,                 3.3876,                 2.3064,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.8175,                 2.3545,                 2.4907,                0.34744,                0.69182,                0.50521,                0.31172,                 1.3396,                  1.905,                 2.1165,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.7092,                 2.2728,                 2.3415,                0.36528,                0.61582,                0.44794,                0.29715,                 1.1767,                 1.8033,                  2.009,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.7189,                 2.2408,                 2.3333,                0.40788,                0.63679,                0.52933,                0.34465,                 1.2115,                  1.704,                  1.936,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.6035,                 2.2338,                 2.2769,                 0.3652,                 0.7626,                0.48204,                0.31675,                 1.2808,                 1.6781,                 1.9633,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.5936,                 2.1938,                 2.2344,                0.28068,                0.60868,                0.44003,                0.29659,                 1.2668,                 2.6585,                 2.0174,              0.0011593,              0.0011593,              0.0011593
