                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9812,                 5.0706,                 4.6322,                0.00047,                0.11176,                0.00064,                0.00028,                 2.8048,                 4.1925,                 4.1575,             0.00016665,             0.00016665,             0.00016665
                      2,                 3.0976,                  4.598,                 4.2556,                0.00045,                   0.12,                0.00128,                0.00022,                 2.8082,                 4.2091,                 4.1591,             0.00034327,             0.00034327,             0.00034327
                      3,                 3.1132,                   4.22,                 4.0378,                0.00132,                0.24941,                0.00111,                0.00028,                 2.8108,                 4.2593,                 4.1818,             0.00051872,             0.00051872,             0.00051872
                      4,                 2.9632,                 3.8208,                 3.8167,                0.00046,                0.11176,                 0.0004,                0.00012,                  2.827,                  4.206,                 4.2453,               0.000693,               0.000693,               0.000693
                      5,                 2.8617,                 3.6672,                 3.6563,                0.00143,                0.23294,                 0.0012,                0.00032,                 2.8327,                 3.9852,                 4.2824,              0.0008661,              0.0008661,              0.0008661
                      6,                 2.6966,                 3.4136,                 3.4857,                 0.5095,                0.07882,                0.04625,                0.01672,                 2.6784,                 3.3872,                  3.841,               0.001038,               0.001038,               0.001038
                      7,                 2.5585,                 3.2964,                 3.3549,                0.05904,                0.24421,                0.04856,                0.02128,                 2.5133,                  23.22,                 4.4123,               0.001089,               0.001089,               0.001089
                      8,                 2.4482,                 3.1481,                 3.1942,                0.01466,                0.44588,                0.03768,                0.01154,                 2.4798,                 60.641,                 4.8487,              0.0010853,              0.0010853,              0.0010853
                      9,                 2.2837,                 3.1304,                 3.0545,                0.06919,                0.59412,                0.11477,                0.05853,                 2.4796,                 52.511,                 4.8129,              0.0010817,              0.0010817,              0.0010817
                     10,                 2.1473,                 2.9792,                 2.9097,                0.06132,                0.29783,                0.09946,                0.04109,                 2.1391,                 3.3897,                 2.8857,               0.001078,               0.001078,               0.001078
                     11,                  2.104,                 2.9532,                 2.8292,                0.09432,                0.27059,                0.05353,                0.02244,                  2.209,                 7.2604,                 3.1576,              0.0010743,              0.0010743,              0.0010743
                     12,                 2.0189,                  2.823,                 2.7044,                0.28085,                0.59882,                0.30597,                0.13539,                 2.0312,                 4.2584,                 2.7694,              0.0010707,              0.0010707,              0.0010707
                     13,                 1.9002,                 2.6709,                 2.6019,                0.25191,                0.53176,                0.29701,                0.18106,                 1.8121,                 4.9179,                 2.6038,               0.001067,               0.001067,               0.001067
                     14,                 1.8577,                 2.6526,                 2.5125,                0.30189,                0.45158,                0.38149,                0.21254,                 1.8688,                 2.3761,                 2.8057,              0.0010633,              0.0010633,              0.0010633
                     15,                 1.8001,                 2.5752,                 2.4659,                0.38103,                0.57133,                0.41324,                0.20714,                 1.6984,                 2.1035,                 2.5437,              0.0010597,              0.0010597,              0.0010597
                     16,                 1.7076,                 2.4492,                 2.3946,                0.37411,                0.56983,                0.41579,                0.22814,                 1.7636,                 2.0071,                 2.5798,               0.001056,               0.001056,               0.001056
